plant,mm,t_mean,hdd_15,hdd_18,cdd_18,cdd_22,ah_mean,ldd
OC_RD_GC,09,,,,,,,
OC_RD_GC,10,,,,,,,
OC_RD_GC,11,,,,,,,
OC_RD_GC,12,,,,,,,
OC_RD_SC,01,-3.962,587.8,680.8,0.0,0.0,1.577,0.0
OC_RD_SC,02,0.838,396.5,480.5,0.0,0.0,2.751,0.0
OC_RD_SC,03,6.033,278.0,371.0,0.0,0.0,4.041,0.0
OC_RD_SC,04,13.027,74.2,149.2,0.0,0.0,5.784,0.0
OC_RD_SC,05,18.058,8.2,42.8,44.6,2.4,9.231,18.7
OC_RD_SC,06,22.718,0.0,0.0,141.5,37.7,12.284,70.6
OC_RD_SC,07,25.904,0.0,0.0,229.2,113.2,18.488,246.2
OC_RD_SC,08,,,,,,,
OC_RD_SC,09,,,,,,,
OC_RD_SC,10,,,,,,,
OC_RD_SC,11,,,,,,,
OC_RD_SC,12,,,,,,,
OC_PARC,01,-3.847,584.3,677.3,0.0,0.0,1.624,0.0
OC_PARC,02,0.858,396.0,480.0,0.0,0.0,2.8,0.0
OC_PARC,03,5.893,282.3,375.3,0.0,0.0,4.098,0.0
OC_PARC,04,12.802,76.4,155.9,0.0,0.0,5.89,0.0
OC_PARC,05,17.819,9.0,45.3,39.7,2.0,9.348,19.1
OC_PARC,06,22.496,0.0,0.0,134.9,32.6,12.404,73.6
OC_PARC,07,25.808,0.0,0.0,226.4,110.4,18.528,247.3
OC_PARC,08,,,,,,,
OC_PARC,09,,,,,,,
OC_PARC,10,,,,,,,
OC_PARC,11,,,,,,,
OC_PARC,12,,,,,,,
NJ,01,4.143,336.58,429.58,0.0,0.0,3.611,0.0
NJ,02,5.472,269.84,353.58,0.1,0.0,4.017,0.14
NJ,03,11.896,119.54,197.4,8.2,0.94,5.928,0.84
NJ,04,17.567,16.84,52.66,39.66,6.6,8.256,9.62
NJ,05,21.715,0.0,4.58,119.76,34.14,11.016,53.68
NJ,06,25.422,0.0,0.0,222.64,106.64,15.343,160.46
NJ,07,29.071,0.0,0.0,339.18,216.78,19.849,301.2
NJ,08,29.524,0.0,0.0,357.275,233.275,19.103,282.225
NJ,09,24.823,0.0,0.0,204.7,92.0,15.699,171.8
NJ,10,18.12,9.975,45.85,49.575,15.375,10.068,39.225
NJ,11,12.671,90.925,164.825,4.975,0.0,6.811,4.775
NJ,12,4.99,310.675,403.325,0.0,0.0,3.774,0.0
NA,01,4.171,335.7,428.7,0.0,0.0,3.614,0.0
NA,02,5.491,269.3,353.04,0.1,0.0,4.027,0.14
NA,03,11.911,119.1,196.96,8.22,0.94,5.935,0.84
NA,04,17.577,16.88,52.42,39.74,6.6,8.27,9.72
NA,05,21.731,0.0,4.56,120.22,34.52,11.027,53.98
NA,06,25.426,0.0,0.0,222.76,106.76,15.357,160.88
NA,07,29.083,0.0,0.0,339.54,217.14,19.858,301.46
NA,08,29.524,0.0,0.0,357.275,233.275,19.103,282.225
NA,09,24.823,0.0,0.0,204.7,92.0,15.699,171.8
NA,10,18.12,9.975,45.85,49.575,15.375,10.068,39.225
NA,11,12.671,90.925,164.825,4.975,0.0,6.811,4.775
NA,12,4.99,310.675,403.325,0.0,0.0,3.774,0.0
NB,01,4.143,336.58,429.58,0.0,0.0,3.611,0.0
NB,02,5.472,269.84,353.58,0.1,0.0,4.017,0.14
NB,03,11.896,119.54,197.4,8.2,0.94,5.928,0.84
NB,04,17.567,16.84,52.66,39.66,6.6,8.256,9.62
NB,05,21.715,0.0,4.58,119.76,34.14,11.016,53.68
NB,06,25.422,0.0,0.0,222.64,106.64,15.343,160.46
NB,07,29.071,0.0,0.0,339.18,216.78,19.849,301.2
NB,08,29.524,0.0,0.0,357.275,233.275,19.103,282.225
NB,09,24.823,0.0,0.0,204.7,92.0,15.699,171.8
NB,10,18.12,9.975,45.85,49.575,15.375,10.068,39.225
NB,11,12.671,90.925,164.825,4.975,0.0,6.811,4.775
NB,12,4.99,310.675,403.325,0.0,0.0,3.774,0.0
WA,01,1.46,419.74,512.74,0.0,0.0,3.521,0.0
WA,02,3.155,333.26,417.86,0.0,0.0,3.854,0.0
WA,03,6.136,275.36,367.76,0.0,0.0,4.211,0.0
WA,04,9.558,171.24,255.06,1.8,0.0,5.124,0.0
WA,05,14.781,46.5,108.6,8.82,0.0,6.655,0.42
WA,06,19.605,1.74,19.18,67.32,18.2,9.348,16.66
WA,07,20.166,0.0,6.72,73.32,12.14,9.754,19.48
WA,08,20.192,0.375,11.9,79.825,15.775,10.653,38.3
WA,09,16.215,31.45,75.4,21.825,2.025,8.635,5.95
